"id","key","value","position","header","created_at","updated_at"
"1","general-kiri","FORRIN JAGOMITRA","Spv. Adm. Marketing & Sales","Hormat Kami,","2022-01-27 07:30:11","2022-01-27 21:37:13"
"2","general-tengah-satu","PETRUS M. TANGKILISAN","General Manager","Mengetahui,","2022-01-27 07:30:11","2022-01-27 22:12:36"
"3","general-tengah-dua","GASPAR TEMING","	Head of Marketing & Sales","Approval Customer,","2022-01-27 07:30:11","2022-01-27 22:12:04"
"4","general-kanan","(.......................................)",NULL,"Approval Customer,","2022-01-27 20:01:25","2022-01-27 22:12:15"
"5","general-note","Barang Ini Dapat Dikembalikan, Mohon Simpan Bukti Invoice Ini",NULL,NULL,"2022-01-27 20:01:22","2022-05-27 11:34:28"
"6","project-kiri","FORRIN JAGOMITRA","Spv. Adm. Marketing & Sales","Hormat Kami,","2022-01-27 07:30:11","2022-01-27 21:37:13"
"7","project-tengah-satu","PETRUS M. TANGKILISAN","General Manager","Mengetahui,","2022-01-27 07:30:11","2022-01-27 22:12:36"
"8","project-tengah-dua","GASPAR TEMING","	Head of Marketing & Sales","Approval Customer,","2022-01-27 07:30:11","2022-01-27 22:12:04"
"9","project-kanan","(.......................................)",NULL,"Approval Customer,","2022-01-27 20:01:25","2022-01-27 22:12:15"
"10","project-note","Barang Ini Dapat Dikembalikan, Mohon Simpan Bukti Invoice Ini",NULL,NULL,"2022-01-27 20:01:22","2022-05-27 11:34:28"
"11","po-kiri",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 21:37:13"
"12","po-tengah-satu",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 22:12:36"
"13","po-tengah-dua",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 22:12:04"
"14","po-tengah-tiga",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 22:12:04"
"15","po-tengah-empat",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 22:12:04"
"16","po-kanan",NULL,NULL,NULL,"2022-01-27 20:01:25","2022-01-27 22:12:15"
"17","penawaran-kiri",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 21:37:13"
"18","penawaran-tengah-satu",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 22:12:36"
"19","penawaran-tengah-dua",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 22:12:04"
"20","penawaran-kanan",NULL,NULL,NULL,"2022-01-27 20:01:25","2022-01-27 22:12:15"
"21","penawaran-note",NULL,NULL,NULL,"2022-01-27 20:01:22","2022-05-27 11:34:28"
"22","sppb-kiri",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 22:12:36"
"23","sppb-kanan",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 22:12:04"
"24","sppb-kanan",NULL,NULL,NULL,"2022-01-27 20:01:25","2022-01-27 22:12:15"
"25","sppb-note",NULL,NULL,NULL,"2022-01-27 20:01:22","2022-05-27 11:34:28"
"26","surat-jalan-kiri",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 21:37:13"
"27","surat-jalan-tengah-satu",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 22:12:36"
"28","surat-jalan-tengah-dua",NULL,NULL,NULL,"2022-01-27 07:30:11","2022-01-27 22:12:04"
"29","surat-jalan-kanan",NULL,NULL,NULL,"2022-01-27 20:01:25","2022-01-27 22:12:15"
"30","surat-jalan-note",NULL,NULL,NULL,"2022-01-27 20:01:22","2022-05-27 11:34:28"
