"id","category_name","created_at","updated_at","deleted_at"
"3","Lotus","2021-10-29 09:47:43","2021-10-29 09:47:43",NULL
"4","Ozti","2021-10-29 09:48:00","2021-10-29 09:48:00",NULL
"5","ALTO SHAAM","2021-10-29 11:52:35","2021-10-29 11:52:35",NULL
"6","ICE MATIC","2021-10-29 12:02:24","2021-10-29 12:02:24",NULL
"7","WINTERHALTER","2021-10-29 13:54:07","2021-10-29 13:54:07",NULL
"8","RATIONAL","2021-10-29 14:08:28","2021-10-29 14:08:28",NULL
"9","UNOX","2021-10-29 14:50:48","2021-10-29 14:50:48",NULL
"10","GENERAL","2021-10-29 16:43:37","2021-10-29 16:43:37",NULL
"11","FIMAR","2021-10-29 16:47:26","2021-10-29 16:47:26",NULL
"12","HATCO","2021-10-30 10:27:25","2021-10-30 10:27:25",NULL
"13","PRAIM","2021-10-30 10:34:04","2021-10-30 10:34:04",NULL
"14","ROTONDI","2021-10-30 10:42:40","2021-10-30 10:42:40",NULL
"15","HAN SINK","2021-10-30 10:50:12","2021-10-30 10:50:12",NULL
"16","ESSA","2021-10-30 10:57:10","2021-10-30 10:57:10",NULL
"17","ROYAL","2021-10-30 11:07:26","2021-10-30 11:07:26",NULL
"18","MEHEN","2021-10-30 11:14:11","2021-10-30 11:14:11",NULL
"19","ATM COOL","2021-10-30 11:21:06","2021-10-30 11:21:06",NULL
"20","MIX BRAND ","2021-12-17 10:51:20","2021-12-17 10:51:20",NULL
"21","SUN EAST","2021-12-18 10:06:16","2021-12-18 10:06:16",NULL
"22","THERMATEK","2021-12-18 17:07:56","2021-12-18 17:07:56",NULL
"23","THERMATEK","2021-12-18 17:09:23","2021-12-18 17:09:23",NULL
"24","PLAT & PIPA","2021-12-28 10:34:38","2021-12-28 10:34:38",NULL
"25","SOPPAS","2021-12-28 11:20:37","2021-12-28 11:20:37",NULL
"26","MATERIAL","2021-12-28 11:41:42","2021-12-28 11:41:42",NULL
"27","CHEMICAL","2021-12-28 13:46:30","2021-12-28 13:46:30",NULL
"28","WARRING","2021-12-28 13:57:42","2021-12-28 13:57:42",NULL
"29","MIDEA","2021-12-28 14:34:24","2021-12-28 14:34:24",NULL
"30","PRERINSE","2022-01-04 13:57:49","2022-01-04 13:57:49",NULL
