"id","item_image","item_code","item_name","item_merk","item_type","item_weight","item_length","item_width","item_height","item_hpp","item_before_sale","item_discount","item_sale","item_profit","item_description","item_warehouse_a","item_warehouse_b","item_warehouse_c","item_warehouse_d","item_stock","category_id","supplier_id","created_at","updated_at","deleted_at"
"4","1635472854_31ff9613fe04610cf158.png","E0071","ELECTRIC FRYER SERIE 60","LOTUS","F13-64ET","52","400","400","900","0","0","0","0","0",NULL,"0","0","1","0","1","3","1","2021-10-29 10:00:00","2022-05-27 14:56:33","0000-00-00 00:00:00"
"5","1635473042_20a11e73de547797d23f.png","E0072","GAS FRY TOP SMOOTH GRIDDLE SERIE 60","LOTUS","FTLT-76G","47","600","600","280","0","0","0","0","0",NULL,"0","0","1","0","1","3","1","2021-10-29 10:04:00","2022-02-21 13:59:00","0000-00-00 00:00:00"
"6","1635473326_a7a17c808f076ce664ba.png","E0073","ELECTRIC FRY TOP SMOOTH GRIDDLE SERIE 60","LOTUS","FTLT-64ET","49","600","600","280","0","0","0","0","0",NULL,"0","0","0","0","0","3","1","2021-10-29 10:08:00","2022-02-21 14:00:00","0000-00-00 00:00:00"
"7","1635473438_3139a410dc5a4f2aa245.png","E0074","GAS STOVE 6 BURNERS WITH OVEN","LOTUS","CF6-712GPV","106","600","600","900","0","0","0","0","0",NULL,"0","0","0","0","0","3","1","2021-10-29 10:10:00","2022-02-21 14:03:00","0000-00-00 00:00:00"
"8","1635473594_d7c9c5104a1b592e443d.png","E0075","GAS STOVE 4 BURNERS SERIE 60","LOTUS","PCT-66G","31","600","600","280","0","0","0","0","0",NULL,"0","0","1","0","1","3","1","2021-10-29 10:13:00","2022-02-21 14:05:00","0000-00-00 00:00:00"
"9","1635473703_a37bca3187f3ea605804.png","E0076","GAS STOVE 4 BURNERS WITH OVEN SERIE 60","LOTUS","CF4-68GEM","97","600","600","900","0","0","0","0","0",NULL,"0","0","0","0","0","3","1","2021-10-29 10:15:00","2022-02-21 14:06:00","0000-00-00 00:00:00"
"10","1635473909_51e814c162339d445e28.png","E0077","ELECTRIC PASTA COOKER","LOTUS","CPT-64ET","27","600","600","280","0","0","0","0","0",NULL,"0","0","0","0","0","3","1","2021-10-29 10:18:00","2022-02-21 14:07:00","0000-00-00 00:00:00"
"11","1635473967_8ac28643dafad1b63851.png","E0078","ELECTRIC GRILL","LOTUS","CWT-64ET","36","600","600","280","0","0","0","0","0",NULL,"0","0","0","0","0","3","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"12","1635474014_bb30336aae353e0bb74d.png","E0079","CHARCOAL GAS GRILL ","LOTUS","CWT-64G","41","600","600","280","0","0","0","0","0",NULL,"0","0","0","0","0","3","1","2021-10-29 10:20:00","2022-02-21 14:11:00","0000-00-00 00:00:00"
"13","1635474260_39967c3cb9c04e044304.png","E00710","GAS MANUAL TILTING BRAT PAN CAP. 50 LITERS","LOTUS","BR50-78G","135","700","700","900","0","0","0","0","0",NULL,"0","0","1","0","1","3","1","2021-10-29 10:24:00","2022-02-21 14:12:00","0000-00-00 00:00:00"
"14","1635474329_e844d16bd889a67edc64.png","E00711","GAS STOVE 4 BURNERS - PORTABLE - SERIE 70 ","LOTUS","PCT-78GP","73","700","700","280","0","0","0","0","0",NULL,"0","0","1","0","1","3","1","2021-10-29 10:25:00","2022-02-16 17:07:00","0000-00-00 00:00:00"
"15","1635474390_124828d5ccbbb6cf17ab.png","E00712","GAS STOVE 6 BURNERS - PORTABLE - SERIE 70 ","LOTUS","PCT-712GP","0","0","0","0","0","0","0","0","0",NULL,"0","0","1","0","1","3","1","2021-10-29 10:26:00","2022-02-16 17:14:00","0000-00-00 00:00:00"
"16","1635474555_4c3dfb792f62fabadae1.png","E00713","ELECTRIC INDIRECT BOILING PAN CAP. 50 LITERS ","LOTUS","PI50-78ET","120","700","700","900","0","0","0","0","0",NULL,"0","0","1","0","1","3","1","2021-10-29 10:29:00","2022-02-16 17:15:00","0000-00-00 00:00:00"
"17","1635474679_88e5aab8a1df381b1e6b.png","E00714","GAS CHARCOAL GRILL - PORTABLE - SERIE 70 ","LOTUS","CWT-78G","97","700","700","280","0","0","0","0","0",NULL,"0","0","1","0","1","3","1","2021-10-29 10:31:00","2022-02-16 17:18:00","0000-00-00 00:00:00"
"18","1635474749_99f11d21c06b24b39e8a.png","E00715","GAS CHARCOAL GRILL ON OPEN CABINET - SERIE 70 ","LOTUS","CW-78G","104","700","800","900","0","0","0","0","0",NULL,"0","0","0","0","0","3","1","2021-10-29 10:32:00","2021-10-29 10:32:00","0000-00-00 00:00:00"
"19","1635474973_b78847ee4fb61054b37f.png","E00716","GAS STOVE 4 BURNERS WITH SOLID TOP ON OPEN UNIT - SERIE 70 ","LOTUS","TP4-712GP","178","700","700","900","0","0","0","0","0",NULL,"0","0","1","0","1","3","1","2021-10-29 10:36:00","2022-02-16 17:19:00","0000-00-00 00:00:00"
