"id","supplier_name","supplier_contact","supplier_email","supplier_address","supplier_description","created_at","updated_at","deleted_at"
"1","Eka","87861695138","ekawiratha@gmail.com","Jl.ssls","Dwee","2021-10-19 16:42:25","2021-10-19 16:42:25",NULL
"4","Sinar Harapan","313891889","tidakadaemail@gmail.com","Jalan Larang Asem IV /79A Surabaya","Credit 1 Bulan 
Harga Sudah Termasuk PPN 10%
Up Ibu Lita ","2022-01-21 14:03:42","2022-01-21 14:52:52",NULL
"5","PT SUTINDO RAYA MULIA ","82141560428","tidakadaemail@gmail.com","Jl. Tj. Sari No.44I, Simomulyo, Kec. Sukomanunggal , Surabaya ","Credit 1 Bulan 			
Harga Sudah Termasuk PPN 10%			
Cp Bu Natalia ","2022-01-21 14:15:44","2022-01-21 14:56:34",NULL
"6","PT Putra Chandra Sentosa ","2129514991","tidakadaemail@gmail.com","Sentra Industri Terpadu Tahap III Blok H No. 6 Jl. Kamal Muara VII, Kamal MuaraPenjaringan, Kota Jkt","FRY-G171#Burner	
Barang Ready Stock 
Up Bapak Mahfudz Buhoriy","2022-01-21 14:17:44","2022-01-21 14:57:09",NULL
"7","Rinnai Jakarta ","81511299999","cso.jkt@bhakti.co.id","Jl. Raya Pejuangan No. 11 – 13, Komp. Ruko Sastra Graha No. 9 Kebon Jeruk, Jakarta 11530. Indonesia.","Cash Payment
Up CS Rinnai Jakarta","2022-01-21 14:20:23","2022-01-21 14:57:41",NULL
"8","LFKitchen ","361485206","sc-teknik@yahoo.com","Jln. Mandala Wangi No. 22C Denpasar-Bali ","Cash Payment 
Up Bapak Marsono 				
","2022-01-21 14:22:07","2022-02-11 16:18:30",NULL
"9","Toko Surya Jaya ","361721830","tidakadaemail@gmail.com","Jl. Ry Sesetan, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80223","Cash Payment 
Up Ko Aphin ","2022-01-21 14:23:30","2022-01-21 14:58:32",NULL
"10","CV KUMALA TEHNIK","361232774","tidakadaemail@gmail.com","Jl. Teuku Umar 155 Denpasar","Cash Payment 
","2022-01-21 14:24:31","2022-01-21 14:58:58",NULL
"11","GEDE DYNAMO","817351215","tidakadaemail@gmail.com","Jl. P Saelus No 61 Denpasar","Cash Payment 
","2022-01-21 14:44:50","2022-01-21 14:59:23",NULL
"12","BAPAK PUTU SUCIPTA","8133969112","tidakadaemail@gmail.com","Jl Tukad Irawadi Denpasar","Instalasi Ducting Exhaust 1lot					
Ongkos Material Bantu					
Biaya Bongkar Ducting Existing 					
Ducting Fresh Air					
Barang Ready 
DP 50% ,  Pelunasan 50%
Harga Ducting Tidak Termasuk Service Sipil,plafon Dan Atap
Harga Ducting Tidak Termasuk Pengadaan Kabel Dan Power Untuk Fan
","2022-01-21 14:46:03","2022-01-21 14:59:47",NULL
"13","PT MASTRADA SURYA","361228170","tidakadaemail@gmail.com","Jl. Pulau Kawe 36 Denpasar","Cash Payment 
Diskon 10%
Ppn 10%","2022-01-21 14:49:21","2022-01-21 14:49:21",NULL
"14","Tenno Jakarta","8155295136","tidakadaemail@gmail.com","Jakarta","Cash Before Delivery","2022-01-21 14:51:52","2022-01-21 14:51:52",NULL
"15","COOLMES COMMERCIAL KITCHEN EQUIPMENT Mfg. Co., Ltd","865432957787","expo3@coolmes.cn","Western Section Of Bocheng No 5 Road, Bochang Sub-District, Boxing Country, Binzhou City, Shandong Province (Western Binzhou Technical Institute), China","Term Of Payment : Deposit 30% Before Production
S/S 201
Delivery 40 Days After Deposit
Delivery Port Qingdao
1x40HQ Container
Repayment 70% Balance Before Loading
","2022-01-21 15:03:55","2022-01-21 15:03:55",NULL
"16","UNOX S.p.A","390498657511","info@unox.com","Via Majorana, 22 35010 - Cadoneghe (PD) Italy","Term Of Payment : B.T 50% In Advance + 50% At 60dd Invoice
Ship By Seafright","2022-01-21 15:05:37","2022-01-21 15:05:37",NULL
"17","PT ROYAL SUTAN AGUNG","82282221918","service.center@royalteknik.com","Jalan Raya Trosobo Km 12 No 18 Ds Tanjung Sari Kecamatan Taman Kabupaten Sidoarjo","Term Of Patment Bg 45 Hari 
Diskon 28%
Ppn 10%","2022-01-21 15:19:34","2022-01-21 15:19:34",NULL
"18","Shandong Baikai Commercial Kitchen Equipment Ltd.","8615006956877","cathyx@kfcater.com","No.108 Wanshida Road, Xingfu Town, Boxing County, Binzhou City, Shandong Province","Term Of Payment : 30% Deposit -70% Before Delivery
LOGO MUST EYE CATCHING
GAS PIPE MUST HEAD DOWN NOT STRAIGHT
THE GAS USE IS LPG
FOB
PRODUCTION 25 DAYS AFTER RECEIVED PO

","2022-01-21 15:22:18","2022-01-21 15:22:18",NULL
"19","Yen Teknik Fan ","6282227772877","tidakadaemail@gmail.com","Surabaya ","Term Of Payment : DP 50%
Franco Surabaya Harga Include Ppn 10%
Pelunasan 1 Minggu Dari Barang Dan Invoice Asli Diterima 
","2022-01-21 15:24:09","2022-01-21 15:24:09",NULL
"20","Air Fan Jakarta ","6289642827856","tidakadaemail@gmail.com","Jakarta","Term Of Payment :  CREDIT 1 BULAN
Franco Jakarta 
Ready Stock Jakarta Sudah Include Ppn 10%
Kredit 1 Bulan Setelah Po Diterima 
","2022-01-21 15:25:38","2022-01-21 15:25:38",NULL
"21","FOSHAN SKYPLANET IMPORT AND EXPORT CO., LTD.","8613929937783","jinzao001@yahoo.com","4/F, Foreign Trade Building, 1 Fenjiangxi Road, Foshan Guangdong China"," Cash Payment","2022-01-21 15:29:53","2022-01-21 15:29:53",NULL
"22","CBC ROYAL FIRST SRL","390438394977","info@royall.it","Via Martiri D. Foibe 15 Scomigo Di Conegliano Italy","Term Of Payment : Payment In Advance
EXWORK","2022-01-21 15:31:08","2022-01-21 15:31:08",NULL
"23","RATIONAL","4981913275329","m.fischer@rational-online.com","25 International Business Park #02-15/17 German Centre Singapore 609916","Term Of Payment : Payment In Advance
EXWORK SINGAPORE","2022-01-21 15:32:05","2022-01-21 15:32:05",NULL
"24","CV. MULYIKON ERINDOTAMA","2129385106","tidakadaemail@gmail.com","Jl. Jatinegara Kaum No.17A Kec. Pulo Gadung, Jakarta Timur","Cash Payment 
Ppn 10%","2022-01-21 15:33:13","2022-01-21 15:33:13",NULL
"25","Crown Horeca - Kitchen Equipment","6281282421660","tidakadaemail@gmail.com","Jl. Bandengan Selatan No. 43 Pejagalan, Jakarta Utara","Term Of Payment : Cash Payment  
Franco Jakarta Include Ppn 10%","2022-01-21 15:34:16","2022-01-21 15:34:16",NULL
"26","DNS PURE SUPPORT","60378805758","puresup@dsusa.biz","B-2-11, Block B Jalan SS 25/22 Taman Mayang 47301 Petaling Jaya, Selangor Malaysia","Term Of Payment : Payment In Advance 
","2022-01-21 15:35:41","2022-01-21 15:35:41",NULL
"27","CV. MULTIKON ERINDOTAMA","2129385106","tidakadaemail@gmail.com","Jl. Jatinegara Kaum No.17A Jakarta Timur","Term Of Payment : Cash Payment
Franco Jakarta Include Ppn 10%
","2022-01-21 15:37:51","2022-01-21 15:37:51",NULL
"28","GUANGZHOU GARBO INTERNATIONAL TRADING., LTD","2084791380","emma@garboglass.com","Room701, No.282 Yingbin Road, Dashi Panyu Guangzhou China","Term Of Payment : T/T 30% Deposit - 70% Balance
Delivery Time: 45 Working After Deposit
Price Exclude Document Such EBS, CIC, CIQ
","2022-01-21 15:40:48","2022-01-21 15:40:48",NULL
"29","PT TERANG ABADI LESTARI","82233651716","tidakadaemail@gmail.com","Jl. Mangga Dua Raya Block C No 24 Jakarta","Term Of Payment : Cash Payment 
Franco Jakarta 
Price Include PPN 
","2022-01-21 15:42:31","2022-01-21 15:42:31",NULL
"30","ENERGY GROSIR","8123837875","tidakadaemail@gmail.com","Jl. Nusa Kambangan No.49, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80112","Term Of Payment : Cash Payment 
Franco Denpasar Include Ppn 10%","2022-01-21 15:43:39","2022-01-21 15:43:39",NULL
"31","AS KITCHEN","628170727858","tidakadaemail@gmail.com","Jl. Dewi Sri No.189 Legian Kuta ","Term Of Payment : Cash Payment 
Franco Denpasar Include Ppn 10%","2022-01-21 15:44:48","2022-01-21 15:44:48",NULL
"32","AS KITCHEN","628170727858","tidakadaemail@gmail.com","Jl. Dewi Sri No.189 Legian Kuta ","Term Of Payment : Cash Payment 
Franco Denpasar Include Ppn 10%","2022-01-21 15:44:49","2022-01-21 15:44:49",NULL
"33","PT Sango Ceramics Indonesia","248660050","salessupport@sango.com","Jl. Raya Randugarut No.Km 14, Wonosari, Semarang Jawa Tengah ","Term Of Payment : Cash Payment 
Diskon Berdasarkan Unit Yang Di Beli
Franco Semarang Include Ppn 10%
","2022-01-21 15:47:33","2022-01-21 15:47:33",NULL
"34","CV DUNIA HORECA","85810902227","foodservice@indoutensil.com","Jl. Plaju No 2 Jakarta Pusat","Term Of Payment : CASH PAYMENT
Diskon 15%+5%
FRANCO JAKARTA Include Ppn 10%","2022-01-21 15:48:45","2022-01-21 15:48:45",NULL
"35","FIMAR S.p.a","66861513950","fimarasia@fimarspa.it","Via Del Tesoro, 301 47826 Villa Verucchio (RN) - Italy","Term Of Payment : ADVANCED BANK TRANSFER 
Delivery Term : EX-WORK
Production : 10-12 Working Days From Receiving Of Payment
","2022-01-21 15:49:40","2022-01-21 15:49:40",NULL
"36","TAIZHOU SHANGYI PLASTIC CO.,LTD","0","tidakadaemail@gmail.com","Rm715-716, Junyue Mansion,Jaojiang, Taizhou, Zhejiang, China","Term Of Payment : CASH PAYMENT 
EXWORK 
","2022-01-21 15:50:23","2022-01-21 15:50:23",NULL
"37","BARI WAJAN BANDUNG","0","tidakadaemail@gmail.com","Bandung ","Term Of Payment :  Cash Payment
Franco Bandung","2022-01-21 15:52:30","2022-01-21 15:52:30",NULL
